Author;Komentar;Klasifikasi
al weirdo;mangkok pakai saji tambah tumpu sampah ibukota knapa ituapakah pikir sedih;negatif
Puky Balap;ah mahal;negatif
2112ming;males gua makan pakai sendok kayk gitu tajem sendok klok nak mulut;negatif
maria belle;anak kuliner pakai kemas rice bowl kemaren pakai piring ricebowl;netral
Fitra Nurtopan;klo pakai piring liat mahal serba sendok lauk nya wkwkwk;negatif
Zacinda HPT;menu enak makan pakai tangan sendok plastik;netral
Ran;chicken teriyaki mahal dunia;negatif
Nasrah Annas;bentar tutup karna sepi;negatif
aniella 07;reviewnya natural kak tempat bagus makan segitu tempat alat makan worth it;negatif
syr barack;kl liat yaa hargatempetn alat makan pakai sesuai harga lihat tmptnya wow hrga wow jg alat mknnya kls bawah sendok bebek men bowl nyaa pakai gituan worthed banget sihh;negatif
Dewi Margi;mahal;negatif
Keluarga As-syifa;inti mahal wkwkwkwk;negatif
momen berharga;sendok gembel bagus an sendok bubur ayam rumah gue da harga rb an;negatif
Riris RIris;coba tempat makan bensunda ruben onsu sarwenda deh rb puas makan enak sepi rameh mulu unjung jamin tagih;positif
Kntoru Desu;sendok ampun ky makan nasi uduk;negatif
Dwi Limas;mahal banget;negatif
saya orang;halah mehonggg;negatif
Yulie Octavia9666;makann warung tegal tempat mewah jadi mahal tempat nya wkwk;positif
Sri Hartatik;kak tinjau bumbu ireng punya nya bg teuku wisnu kayak sih enak bangat;positif
ulvarumila gani;mahal;negatif
Rizky Pujianto;lumayan mahal harga gitu makan ny tempat resto makan ny matching bgtt apalgi tempat makan ny bowl gitu ribet makan ny;negatif
mei lim;tarik banget makan model gitu deh;negatif
Doli Anggriyan;emng iya ken grat waktu ank kuliner vlog yampun ngecwain bnget bukn mkanan nya mahal;negatif
Carrisa angela Kristya;biar kaya jg berfikir ksini;negatif
puti faradina;najong dehhh masakan warung mahh mahal banget rugi beli situ tambah bikin artis kaya;negatif
Mohd Firmansyah;nyampahh bgtsiii knp pakai piring;negatif
PutriK TV;duh serasa sesal hilang uang segitu;negatif
Anak Onda;kak cobain ayam baraya deh lokasi elang laut greenville gading serpong ayam kremes sayur asem nya enakkkkk;positif
WANG WAIMIN;harga mahal sendok plastiky minimal plastik bagus;negatif
Miss D;banding awal awal mah masuk murrraaaah bangettt;positif
Reynaldi Afni Ramadhan;tempat makan go green banget;negatif
Abyt Wildan;sewa tempat buat harga makan mahal hihihi;negatif
Sobri 26;mahal ambil packingnya banget porsi mini banget;negatif
Faliza Na;mahal banget ukur makan warung tegal wkwk;negatif
KNA_ 1506;tempat lucu nuansa pink nya;positif
YANTIA MAR;rasa oke harga tempat baguss;positif
Avelia Theresia;mahal karna temptnya bagushahaha mantap kak alasanya;positif
Dayu Arie;tempat bagus tempat bagus dua yakin tinjau makan;positif
farliyana ain;sedih lihat sibuk kurang limbah plastik nyumbangin limbah plastik hari kg limbah plastik resto sumbangin jujur sih gue pribadi gak makan resto gue dukung resto nyumbangin limbah plastik hari;negatif
ahmad bar bar cool;sendokny banget deh;negatif
Garraâ¢Gamers TVM;kecewa dongyg sabar;negatif
tika chan;gak worth it mahal gak berfikir hahahaa;negatif
Julia Marisa;diwarteg pakai sambel gratis hahaha;positif
Leneth Crown;punya resto baca kagak betapa nya complain masalah sendok harga nya jd sampah tempat makan nya;negatif
iin Jimbaran;anjir pelit banget pakai piringg resto bagus pakai ny tempat bgtuan pinggir jln biasaa nya mah;negatif
Gms Gsm;sendok nasi bungkus pinggir dikaretin terus tuh sendok diselipin karet;negatif
angler 027;porsi nya lihat gak worth it;negatif
trianna aryanti;tmpatnya bgus mah kykny tersetting dgn bumbu kecewa dkit biar liat pure;negatif
Camelia Surman;baru nih reviewnya bilang enak banget hehe;positif
Syakilla Ardy;ratingnya kak grat biar liat enak mahal tempat sih kak hehe biarpun makan asa;negatif
sally rusdiana;elah pelit bangt tuh chelsea;negatif
Mutiara MUTIARA;kelas porsi mahal;negatif
G Ozawa;tuh mahal wadah da gambar punya;negatif
Ayu Harysca;gak sesuai konsep cafenya klw makan gitu mending buat beda tempat;negatif
axor;langgan sepi dikarnakan makan mahal bikin perut kenyang;negatif
Nia Noviyanty;bjir sendok nasi uduk minggu gue makan bibir gue merah habis pakai sendok anjir lecetv;negatif
heti kusnaeni;gila gak kuat dah makan situ misqueeen;negatif
Wani Wani;muahhhhaallll;negatif
The din kenong Kenong;mahal yaah paper bowlnya mahal mamam tuh kertas;negatif
meisme akuni;restoran artis mahal;negatif
tri agustinah;baru buka mahal harga banget gitu porsi nya wajar sepi;negatif
arief budiman;mahal gaes;negatif
Yenyen Sumardi;penasaran banget gua nonton riview vloger orang beda banget skrang porsi nya lbh terus lauk nya pisah nasi campur nasi pokok nya bgtt uba tetap masuk akal masakkkk makan tempat pakenya box piringggg ampunnnn dehh;positif
Ningsoon 21;resto jadi sumbang sampah pakai banget;negatif
Zahra Ulina;mahal terus dikit klo pribadi utama perut tempat dn suasana;negatif
De houris;resto terima saran netijen si mending;positif
dimas0302;restoran punya umur panjang dikit mahal;negatif
Siti Mardiana;klau makan dsni rasa rugi wkwkwkw mahal;negatif
Phoenix Souw;kek nya sih mahal hmm gak sih bawang goreng segitu bayar rb ampunn dehh;negatif
ach lailu;ko ce mending makan kat tempat dah harga mahal makananya ngirit banget;negatif
tevi sf;keliatankan sepi tempat ny;negatif
Sugiarti Ati;mahal banget sekian artis pling mahal gak sesuai;negatif
Tu Gus;bikin resto tempat kayak gitu mahal banget konsep kayak gak pikir mateng mateng sayang banget kak chelsea;negatif
Ana Keelung Anacilung;makan mahal pakai sendok plastik nasi kuning itumah parah banget sampah nya banyak resto loh gak ain piring sendok asli coba jgn plastik;negatif
Garraâ¢Gamers TVM;mahal bangett orang punya duit kaya jg enga makan dsitu resto oke rasa;negatif
yuuuhhhu black;mahal banget murah kfc enak kfc;negatif
Eko Jusmar;turut konsep desain restonya gak nyambung sih alat makan hehe desain restonya togo take away gitu makan tapiii alat makan harus banget go take away jd bandingin mangkok punya chef arnold anak pak jokowi konsep rice bowl dinein pakai nya gak mangkok kertas sendok plastik gitu pakai alat makan proper gak worth it sih hehehe;negatif
Novel Manius;niat jual kagak nih mahal banget worth it mending bowlnya lunmay makan dapur eyang kaji deh rb dapet kenyang banget;negatif
Winda Dwigina;sampah beut;negatif
Yulias Afriani;lokasi guys baguspusat kota sewa tempat dah mahal;negatif
Teddy Susilo;tempat bagus sendok prihatin satu pak rban dapet pcs;negatif
cherin nita;mahal yaa murah ricarica chicken rise mcd deh dpet nasi plus lauk enak tempat cozy;negatif
Choikang Umuzaki;murah enak puas dah jalan bensunda waee ebuu coyy sakenyange gitu repot;positif
Elshe Ilo;bener bener habis tinjau anak kuliner kemarin kaya nya baik;positif
Maulana Blewer;klo makan taruh atastrus bawah wadah kosong guna wadah gede gitu boongin beli kira makan ukur wadah cuman nambahin sampah plastik indonesia woyy;negatif
tina ashuri;wkwkwkk mahal jual mahal bahan sesuai belanja pasar besar lote mart giant tau harga pasar murah cman slisih harga jiwa miisquen ronta liat porsi;negatif
john watsons;mahal ribet ambil sendri aduhhhh;negatif
KAKI GATEL Prod;sayang makan campur jadi satu jadi makannnya kurang gimna gitu;negatif
Wells;konsep restonya gak jelas makan indonesia konsep cafe nongkrong saji jga mending kl makan tempat pakai piring biar gak nyampah;negatif
asmawati Akun;papeda nya rasya baru niat konsep jelas makan enaktempat harga sesuai;positif
Eddhy Wardi;menu indonesian food sih bagus emg mahal cin gue makan steak gitu pakai bowl layak take away ahh akuu mayasss cici koko gak cas semangat liat video hihihi piss out;negatif
diana sanchia;kayak klo makan kurang kuasa pasar deh dlu glenn alinskie punya brand menteri indonesia gak;negatif
fieka vindatama;gila mahal banget;negatif
Fauza Rahman;chiken teriyaki mahal dunia kata koh ken wkwkkwwk;negatif
AISYAH LomboK;alangkah baik konsep makan ubah deh kaya resto dine in mending pakai piring sendok layak resto imbang konsep makan konsep tempat makan gitu;negatif
Wani Wani;mahaaallllll;negatif
Vickri Shonata;sampah banget si parah;negatif
cak pri malang;orang lapar cari makan tempat masa cafe makan mahal sanggup beli piring sendok gelas selesai makan sampah nya abrek hadeuhhh;negatif
Siolin Siolin;tempat bagus enak kata harga rakyat orang berfikir beli;negatif
Virgo Sept;ngalamin sakit bibir lecet karna pakai tuh sendok kaya tajem gitu gua pas makan seblak pakai tuh sendok;negatif
Permata Charisma;menu warung tegal mahal wadah ma porsi;negatif
Ayu Christina Tarigan;kl makan situ ngajak anak rempong banget makan pakai bowl terus sendok plastik ribet bayanginnya satu nyendok satu pegangin bowl enak pakai piring terus makan pakai tangan;negatif
Zulfikar Tanjung;worth it mahal nasi rames nasi tambah lauj helowww sedikt lih porsiny;negatif
JJ & JO Family's;mahal target market nya crazy rich haha;negatif
nabila nurul;mahal banget makan pakem box ajaaa;negatif
Aneka Chanel;pawon bu cetar segitu anggap mahal lbh mahal;negatif
Brandon Bong;gak aneh sih harga porsi segitu makan gedung kantor daerah thamrin sudirman kuningan menteng gak murah banget;positif
elly azha;dh youtuber ngereview channel dah ubah pas datang syukur lngsung gercep biar usaha nga down hati vlog belah nga cepat tanggap langsung drop usaha;positif
Cliff Harsya;sedia tempat bagus bikin harga mahal menu konsep mesti ala restoran jd gak nyinyirin mahal restoran gak enak dikomen rasaaaa mah gak rekomendasi semuuuuaaaaanya;negatif
Salmaa Nafiisah;mahallllll;positif
akun kepo;mahal mah gue makan kek gitu tahan enak kata rasa ormg berfikir balik mending tempat rasa enak dah harga mahal ni;negatif
Aprita Aprita;gak worth it;negatif
Eosgood song Iroh;mahal mahal sendok plastik wadah nya huft gimana yaaah resto glen kota tutup kayak mahal porsi atas ribu menu rasa gimana gimana banget tempat emang jalan mahal;negatif
vrisca maharani;lauk satu mahal sambal mahal;negatif
Indah Zuraidah;sampah restoran masa makan tempat pakai cup sendok plastik;negatif
SUKA SUKA YOUTUBERNYA;asli nya menu makan kalagan bawahkarna tempat lokasi pnyajian nyajd mahallll;negatif
Mariyanah Bayurestuaji;menu tambah gak taru tempat piring gemesh jadi kesan boros tempat;negatif
Siti Rahmah;sendok nya bikin sakit gores bibir;negatif
Rachel Klinsmann;tempat kaya cafe barat an masakan indonesia uenakk kemas kaya warung pinggir jalan modrn take way enak nya kl kaya gitu jd rasa gondok gwemes lagi deh kapokkk;negatif
Atiec Rose;kemehongan;negatif
Nn mey;jdi ngilerr;positif
nur rain;mahal dikit lg;negatif
Kita's Diary;gin nih buka resto karna ikut kek artis kurang matang konsep;negatif
sylvie chandra;gak bakal tahan;negatif
Tiara S;sedihh liat tempat nasi ny tempat ny oke bgtmasa iya piringsendok plastik gitu emg ain piring beling nambahsampah sorry say decor menu makan nyambung duhhh;negatif
jelita purba;serius sendok kena bibir atas kanan kiri sakit cuy jadi makan gigi duluan maju;negatif
dewi febriana;punya resto gak malu sendok kaya gitu gak sesuai resto nya kaya kafe bikin tambah sampah makan mahal;negatif
Dijamin Viral;mahaaalll;negatif
Maya official;kaya nya sih ribet knp pakai piring;negatif
Andianus Dudi;harga mahal pakai bahan kualitas;negatif
Laluna Astuty;yakin tahan bnyak restaurant harga jangkau enak sedih liat restaurant package nya bgitu ampuunnn bayang sampah dihasilkanya mohon go green;negatif
MARIA RAFFI;mahal porsi gitu;negatif
Jojo Lorenzo;tempat menu makan nya nga cocok bagus tempat makan nya menu takut;negatif
Riris RIris;mahal beut;negatif
percetakan kotabumi;mahal;negatif
laura aura;mahal;negatif
Estiadr. dr_;mahal;negatif
Aletaa Khoirunisa;cobain restonya lihat tinjau food vloger ambience bagus makan enak porsi masuk akal dgn harga segitu terus saji pakai sendok bebek plastik gitu hufttt sulit terima harga lhooo tau samping jg warung tegal warung nasi prasmanan lbh jangkau;negatif
Siti Romlah;tetap masuk harga liat menu porsi servis tempat rasa reputasi bahan makan asli mahal;negatif
didit setiawan;jual nama yaa mahal;negatif
Takka may;daya saing kurang deh kyknya uni plus harga mahal banding rice bowl makan makan nongkrong kaya cafe jdi lbh fokus makan harga sesuai banding design tempat ricebowl untuk praktis sayang gitu tempat mahal makannannya praktis gin;negatif
Sella Deril;harga sesuai rasa beli bahan premium makan harga mahal terus harga sewa pajak pengaruh harga orang mah mau harga jangkau terus enak harga mahal isi soal tempat bagus sederhana nomor bukti ngikan punya rachel ramenya kaya gitu harga murah tempat;positif
FADILDILAH CHANEL;mahal abiss;negatif
Yuwanda Malindo;mhal;negatif
arema formosa;harga mahal enak tarik makan kayak males an mahal makan tempat pakai piring bawa pulang cuman jual nama kemas donk;negatif
irgi varezi;mahal;negatif
Regina Pasapam;kece;positif
Harkan Arifin;sbnarnya porsi kaya anak kuliner beli cm liat deh bowl nya tempat dalem tinggin jd kes bnyak;positif
Rosa Ramadyanti;resto tempat nya dapur asix tutup ganti gitu aneh dapur asix konsep makan tempat utensil nya ganti dekor nya doang jd pink gitu gitu harga segitu tengah kota banget worth it pas ken bilang chicken teriyaki mahal dunia savage gue si mending melipir st sudirman dstu cafe makan pinggir jalan enak tinggal jalan dikit situ;netral
Antok Nafik;usaha kuliner mentingin untung doank puas langgan mah siap cepet gulung tikar peliittt sadiiss wkwkwkwk segitu miskin yaa untung doank dikedepanin resto artis pelit seduniaaahhh wkwkwkwkw sampah;negatif
Ayupita Apsari;sih gamau comment apa cuman bilang guna sosial media komen baik benar betewe harga kurang worthit worthit sah karna bayar pajak bangun gaji karyawan sedia bahan makan harga segitu worthitlah emang sop maka bowl makan arti ain pakai piring yaa gantung minta yaa nayak ain piring emang pakai bowl be smart sih nilai monoton harga mahal restoran artis punya nilai masingmasing banding restoran lebih kurang sih;positif
Dama Yanti;jujur ni kluarga alinski mnurutku sombong bgetliat igchanel youtubenyagak skliskrg bkin resto jg jual nama hrgnya kayak emasmn resto kelas ituhrg selangitsendoknya plastik cari untung modal nekat banget;negatif
Yatin Jogja;gak suka plastik maaf aduh sendok hari gin ampun sendok bubur kacang waktu tk thaun anmending skli biar makan pkae tgan deipada jdi komentar orang;negatif
Zelvina Vina;makan situ pas laper banget pulang kerja iseng nyobain bneran mahal sih ukur ricebowl layan sih emng ramah bikin lucu plus ngeselin nusukin sedot tempat mnumnya susah pakai banget enak sih cmn porsi dikit banget plus mahal;negatif
riskiya ramadhani;resto gak jelas;negatif
ristina wiranti;rumah makan rumah sampah sih gregetttt liat serving platenya;negatif
NAYLA AZAHRA.A.;kemarin chanel belah dtg pesan lauk simpan satu bowl serta nasi jdi kes mahal kyknya merek ubah sadar lg tinjau sayang jdi efisien bowl gitu lauk tetap gtu;negatif
Gabriel Mikadelfia;mahal mah heheheheh apa daya rebu nasi pdanv berfikir kali;negatif
Rizaldi Ryan;pakai piring rotan gak cuci piring plastik sendok pakai sendok normal ukur terus minum mending pakai gelas;netral
amelia;temen temen tetap support usaha anak bangsa soal harga relatif sudut pandang turut bom coba makan mahal;netral
Luthfian Muhammad;gileee bayar makan mahal sambal bawang gr hrs bayaar extra lg kl dengar jelas nya rasa makan nya smp benar hebat enak arti resto mahal sih cuman bayar tempat resto nya artis;negatif
savi damay;gemes cara saji nyaaaa gak eco friendly sendok plastik gelas plastik pakai paper bowl makan tempat astagaaaaaaaaaaa saat resto fast food minimarket mulai kurang plastik all item mostly using plastic;negatif
Ayupita Apsari;mehoooong;negatif
Ridho Hermawan;psntes sih harga segitu soal rasa gak bohong tempat bagus jadi pikir rasa tuju gak;positif
